02108,20:10:40.0000000,2011-08-16,2011-08-15,2,68,Clear,
02108,20:10:40.0000000,2011-08-16,2011-08-15,5,66,Clear,
02108,20:10:40.0000000,2011-08-16,2011-08-15,8,71,Sunny,
02108,20:10:40.0000000,2011-08-16,2011-08-15,11,80,Fair,
02108,20:10:40.0000000,2011-08-16,2011-08-15,14,80,Fair,
02108,20:10:40.0000000,2011-08-16,2011-08-15,17,76,Fair,
02108,20:10:40.0000000,2011-08-16,2011-08-15,20,74,Fair,
02108,20:10:40.0000000,2011-08-16,2011-08-15,23,72,Fair,
02108,15:49:57.0000000,2011-08-17,2011-08-16,2,71,Fair,
02108,15:49:57.0000000,2011-08-17,2011-08-16,5,68,Fair,
02108,15:49:57.0000000,2011-08-17,2011-08-16,8,73,Partly Cloudy,
02108,15:49:57.0000000,2011-08-17,2011-08-16,11,83,Mostly Cloudy,
02108,15:49:57.0000000,2011-08-17,2011-08-16,14,87,Mostly Cloudy,
02108,15:49:57.0000000,2011-08-17,2011-08-16,17,84,Mostly Cloudy,
02108,15:49:57.0000000,2011-08-17,2011-08-16,20,78,Partly Cloudy,
02108,15:49:57.0000000,2011-08-17,2011-08-16,23,74,Partly Cloudy,
02108,18:56:37.0000000,2011-08-18,2011-08-17,2,73,Fair,
02108,18:56:37.0000000,2011-08-18,2011-08-17,5,72,Fair,
02108,18:56:37.0000000,2011-08-18,2011-08-17,8,74,Fair,
02108,18:56:37.0000000,2011-08-18,2011-08-17,11,81,Partly Cloudy,
02108,18:56:37.0000000,2011-08-18,2011-08-17,14,86,Mostly Cloudy,
02108,18:56:37.0000000,2011-08-18,2011-08-17,17,80,Cloudy,
02108,18:56:37.0000000,2011-08-18,2011-08-17,20,77,Cloudy,
02108,18:56:37.0000000,2011-08-18,2011-08-17,23,74,Mostly Cloudy,
02108,06:23:38.0000000,2011-08-19,2011-08-18,2,73,Cloudy,
02108,06:23:38.0000000,2011-08-19,2011-08-18,5,72,Mostly Cloudy,
02108,06:23:38.0000000,2011-08-19,2011-08-18,8,75,Cloudy,
02108,06:23:38.0000000,2011-08-19,2011-08-18,11,79,Mostly Cloudy,
02108,06:23:38.0000000,2011-08-19,2011-08-18,14,83,Mostly Cloudy,
02108,06:23:38.0000000,2011-08-19,2011-08-18,17,83,Partly Cloudy,
02108,06:23:38.0000000,2011-08-19,2011-08-18,20,78,Partly Cloudy,
02108,06:23:38.0000000,2011-08-19,2011-08-18,23,73,Clear,
02108,08:36:48.0000000,2011-08-20,2011-08-19,2,71,Fair,
02108,08:36:48.0000000,2011-08-20,2011-08-19,5,70,Mostly Cloudy,
02108,08:36:48.0000000,2011-08-20,2011-08-19,8,73,Cloudy,
02108,08:36:48.0000000,2011-08-20,2011-08-19,11,81,Mostly Cloudy,
02108,08:36:48.0000000,2011-08-20,2011-08-19,14,85,Mostly Cloudy,
02108,08:36:48.0000000,2011-08-20,2011-08-19,17,81,Cloudy,
02108,08:36:48.0000000,2011-08-20,2011-08-19,20,77,Cloudy and Windy,
02108,08:36:48.0000000,2011-08-20,2011-08-19,23,76,Cloudy,
02108,08:55:18.0000000,2011-08-21,2011-08-20,2,75,Cloudy,
